date	ICYA1101_23475	ICYA1101C_28316	ICYA1110_14306	ICYA1110_27619	ICYA1110L_12754	ICYA1110L_12756	ICYA1110L_13094	ICYA1110L_13095	ICYA1110L_22750	ICYA1113_24323	ICYA1113C_13529	ICYA1114_16962	ICYA1114C_12770	ICYA1114C_28636	ICYA1114C_28637	ICYA1116_24324	ICYA1116_25165	ICYA1116_25166	ICYA1116C_12797	ICYA1116C_16981	ICYA1116C_20387	ICYA1116L_27890	ICYA1116L_27891	ICYA1116L_27892	ICYA1116L_27893	ICYA1117_14308	ICYA1117_15245	ICYA1117C_15144	ICYA1117C_15145	ICYA1117C_15146	ICYA1117C_15246	ICYA1117C_22788	ICYA1117C_25168	ICYA1117L_12818	ICYA1117L_12820	ICYA1117L_12826	ICYA1117L_15265	ICYA1117L_16540	ICYA1117L_22791	ICYA1117L_25171	ICYA1117L_25172	ICYA1117L_25174	ICYA1117L_27622	ICYA1117L_28712	ICYA1122_18822	ICYA1122_22797	ICYA1122L_12904	ICYA1122L_22798	ICYA1122L_22799	ICYA1122L_22800	ICYA1122L_22801	ICYA1122L_25175	ICYA1122L_25208	ICYA1122L_25211	ICYA1122L_27631	ICYA1125_13070	ICYA1125_18709	ICYA1125_22803	ICYA1125L_13071	ICYA1125L_13126	ICYA1125L_13127	ICYA1125L_16571	ICYA1125L_16572	ICYA1200A_15083	ICYA1500B_10248	ICYA2001_11103	ICYA2001_13100	ICYA2001_18716	ICYA2001C_13072	ICYA2001C_13101	ICYA2001C_18718	ICYA2070_11534	ICYA2101_24328	ICYA2101C_22875	ICYA2203_14310	ICYA2203_18723	ICYA2203C_13155	ICYA2203C_13224	ICYA2203C_21129	ICYA2203C_28731	ICYA2203C_28733	ICYA2203L_12292	ICYA2203L_12908	ICYA2203L_12909	ICYA2203L_12910	ICYA2203L_12911	ICYA2203L_18828	ICYA2203L_28680	ICYA2203L_28690	ICYA2304_21152	ICYA2304_27582	ICYA2304L_12913	ICYA2304L_12914	ICYA2304L_12915	ICYA2304L_16608	ICYA2304L_22881	ICYA2304L_23282	ICYA2304L_25233	ICYA2401_11400	ICYA2401_18754	ICYA2401C_12916	ICYA2401C_12917	ICYA2401C_18829	ICYA2401C_18830	ICYA2401L_13464	ICYA2401L_13502	ICYA2401L_13503	ICYA2401L_13504	ICYA2401L_13506	ICYA2401L_13507	ICYA2401L_13508	ICYA2401L_13509	ICYA2401L_13510	ICYA2401L_13511	ICYA2401L_13512	ICYA2401L_18831	ICYA2401L_20406	ICYA2401L_20407	ICYA2401L_20408	ICYA2401L_26115	ICYA2401L_27585	ICYA2402_11399	ICYA2402_20804	ICYA2402_27586	ICYA2402C_12918	ICYA2402C_12919	ICYA2402C_20409	ICYA2402C_20410	ICYA2402C_23294	ICYA2402L_13465	ICYA2402L_13513	ICYA2402L_13514	ICYA2402L_13516	ICYA2402L_13517	ICYA2402L_13518	ICYA2402L_13519	ICYA2402L_13520	ICYA2402L_13521	ICYA2402L_13522	ICYA2402L_13523	ICYA2402L_13524	ICYA2402L_20415	ICYA2402L_20418	ICYA2402L_20420	ICYA2402L_27587	ICYA2402L_27588	ICYA2406_24331	ICYA2406L_12920	ICYA2406L_12921	ICYA2406L_13731	ICYA2407_24332	ICYA2407L_12922	ICYA2407L_12923	ICYA2412_27681	ICYA2412C_27684	ICYA2412C_27685	ICYA2412L_13466	ICYA2412L_13525	ICYA2412L_13526	ICYA2412L_22883	ICYA3078_14312	ICYA3078C_13149	ICYA3078C_22885	ICYA3079_24333	ICYA3079C_13151	ICYA3102_10195	ICYA3103_10196	ICYA3104_10602	ICYA3107_24334	ICYA3108_24335	ICYA3202_14315	ICYA3202_28563	ICYA3202C_13156	ICYA3202C_21254	ICYA3203_14316	ICYA3203_22891	ICYA3203C_12925	ICYA3203C_13564	ICYA3203C_22892	ICYA3203C_22893	ICYA3203C_23426	ICYA3305_14317	ICYA3305_22894	ICYA3305L_12927	ICYA3305L_13140	ICYA3305L_19060	ICYA3305L_20421	ICYA3305L_20426	ICYA3305L_22895	ICYA3305L_22896	ICYA3305L_23569	ICYA3305L_27589	ICYA3306_24337	ICYA3306_27590	ICYA3306L_12928	ICYA3306L_12929	ICYA3306L_13142	ICYA3306L_15058	ICYA3307_14318	ICYA3307_22897	ICYA3307C_13152	ICYA3307C_22898	ICYA3308_24339	ICYA3401_14319	ICYA3401_20806	ICYA3401C_12931	ICYA3401C_12932	ICYA3401C_12969	ICYA3401C_16989	ICYA3401C_20423	ICYA3406_24341	ICYA3406L_13424	ICYA3406L_13527	ICYA3406L_22902	ICYA3408_24343	ICYA3408L_13073	ICYA3408L_13153	ICYA3408L_17147	ICYA3408L_17148	ICYA3501_24345	ICYA3501L_16548	ICYA3501L_16549	ICYA3501L_16550	ICYA3501L_27591	ICYA3601_24347	ICYA3601L_13580	ICYA3601L_13581	ICYA3601L_16583	ICYA3601L_16584	ICYA3702_24351	ICYA3702L_16990	ICYA3702L_16992	ICYA3702L_16994	ICYA3702L_20434	ICYA3702L_27592	ICYA3702L_27756	ICYA3991_24353	ICYA4070_10692	ICYA4071_10647	ICYA4103_26793	ICYA4104_26794	ICYA4107_27807	ICYA4131_26798	ICYA4133_26799	ICYA4139_26801	ICYA4160_26803	ICYA4161_26804	ICYA4203_24389	ICYA4206_26806	ICYA4209_11386	ICYA4211_11387	ICYA4212_25839	ICYA4213_25840	ICYA4214_25841	ICYA4216_25842	ICYA4217_25843	ICYA4218_25844	ICYA4219_26000	ICYA4290_24391	ICYA4291_24392	ICYA4292_21852	ICYA4293_21853	ICYA4301_24393	ICYA4305_26807	ICYA4309_26808	ICYA4314_26809	ICYA4317_26810	ICYA4317C_27749	ICYA4317C_27751	ICYA4325_27839	ICYA4326_27842	ICYA4350_24417	ICYA4408_26822	ICYA4416_26827	ICYA4423_26828	ICYA4448_26831	ICYA4506_27811	ICYA4507_27830	ICYA4509_27831	ICYA4511_27836	ICYA4532_26833	ICYA4607_26836	ICYA4610_26837	ICYA4612_27845	ICYA4613_27846	ICYA4703_26839	ICYA4715_26842	ICYA4718_26844	ICYA4802_27598	ICYA4804_26847	ICYA4805_26848	ICYA4809_26849	ICYA4813_27945	ICYA6002_13931	ICYA6007_24491	ICYA6402_13842	ICYA6961_26856	ICYA6962_26857	ICYA6963_26858	ICYA6970_13846	ICYA6980_13847	ICYA6981_13848	ICYA6982_13849	ICYA6990_13850	ICYA6997_13851	ICYA6998_28341
1707271250	27	27	0	18	0	0	0	0	13	41	41	-5	-5	0	0	0	30	5	0	30	5	19	18	0	0	-1	-2	-1	-2	0	-1	2	12	-1	0	0	-1	-1	-1	-1	-1	-1	0	10	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	9	4	6	1	0	-1	17	0	0	20	0	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	2	0	0	0	0	2	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	29	34	35	25	19	44	27	10	16	48	10	2	24	19	5	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	42	15	43	13	16	47	36	41	43	41	29	47	28	37	39	20	27	23	36	43	38	41	46	30	9	10	7	19	20	20	17	18	17	12	14	20	14
1707271309	27	27	0	18	0	0	0	0	13	41	41	-5	-5	0	0	0	30	5	0	30	5	19	18	0	0	-1	-2	-1	-2	0	-1	2	12	-1	0	0	-1	-1	-1	-1	-1	-1	0	10	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	9	4	6	1	0	-1	17	0	0	20	0	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	2	0	0	0	0	2	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	29	34	35	25	19	44	27	10	16	48	10	2	24	19	5	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	42	15	43	13	16	47	36	41	43	41	29	47	28	37	39	20	27	23	36	43	38	41	46	30	9	10	7	19	20	20	17	18	17	12	14	20	14
1707271338	27	27	0	18	0	0	0	0	13	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-1	-2	-1	-2	0	-1	2	12	-1	0	0	-1	-1	-1	-1	-1	-1	0	10	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	17	0	0	20	0	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	2	0	0	0	0	2	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	48	10	2	24	18	5	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	42	15	43	13	16	47	36	41	43	41	29	47	28	37	39	20	27	23	36	43	38	41	46	30	9	10	7	19	20	20	17	18	17	12	14	20	14
1707271422	27	27	0	18	0	0	0	0	13	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-1	-2	-1	-2	0	-1	2	12	-1	0	0	-1	-1	-1	-1	-1	-1	0	10	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	17	0	0	20	0	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	2	0	0	0	0	2	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	48	10	3	24	18	5	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	41	15	43	13	16	47	36	41	43	41	29	47	28	37	39	20	27	23	37	43	38	41	46	30	9	10	7	19	20	20	17	18	17	12	14	20	14
1707271448	27	27	0	18	0	0	0	0	13	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-2	-2	-2	-2	0	-1	2	12	-1	0	0	-1	-1	-1	-1	-1	-1	0	9	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	17	-1	0	20	-1	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	-1	1	0	0	0	0	0	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	48	10	3	24	18	5	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	41	15	43	13	16	47	36	41	43	41	29	47	28	37	39	20	27	23	37	43	38	41	46	30	9	10	7	19	20	20	17	18	17	12	14	20	14
1707271510	27	27	0	18	0	0	0	0	13	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-3	-4	-2	-2	0	-1	2	9	-1	0	0	-1	-1	-1	-1	-1	-1	0	6	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	16	-1	0	20	-1	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	6	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	-1	1	0	0	0	0	0	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	5	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	41	15	43	12	15	47	36	41	43	41	29	47	28	37	39	20	27	23	37	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707271544	27	27	1	18	0	0	0	0	13	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-4	-4	-2	-2	0	-2	2	9	-1	0	0	-1	-1	-1	-1	-1	-1	-1	6	21	1	-1	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	16	-1	0	20	-1	20	0	150	18	18	0	0	0	1	-1	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	-1	9	0	4	0	0	4	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	-1	1	0	0	0	0	0	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	0	26	0	21	0	23	14	0	8	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	30	8	6	11	7	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	45	1	0	-2	-2	-1	41	15	43	12	15	47	36	41	43	41	29	47	28	37	39	20	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707271643	27	27	0	18	0	0	0	0	12	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-5	-5	-2	-2	0	-2	2	7	-1	0	1	-1	-1	-1	-1	-1	-1	0	2	20	-1	-1	-1	-1	0	0	0	-1	0	0	0	15	0	8	4	6	2	0	-1	16	-1	0	20	-1	20	0	150	18	18	0	0	0	1	-1	30	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	-1	9	0	3	0	-1	5	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	-2	1	0	0	0	-1	0	0	16	0	0	3	5	0	0	0	3	5	5	9	7	1	2	4	26	-2	26	-2	21	-6	23	12	0	7	1	-3	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-1	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707271704	27	27	0	18	0	0	0	0	12	41	41	-5	-5	0	0	0	29	5	0	29	5	18	18	0	0	-5	-5	-2	-2	0	-2	2	7	-1	0	1	-1	-1	-1	-1	-1	-1	0	2	20	-1	-1	-1	-1	0	0	0	-1	0	0	0	15	0	8	4	6	2	0	-1	16	-1	0	20	-1	20	0	150	18	18	0	0	0	1	-1	30	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	-1	8	0	3	0	-1	4	0	0	3	0	0	0	3	-1	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	3	0	3	-2	1	0	0	0	-1	0	-2	14	-2	-1	4	5	0	-1	0	2	5	5	9	7	1	2	4	26	-2	26	-2	21	-6	23	12	0	7	1	-3	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-1	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707271720	27	27	0	18	0	0	0	0	12	41	41	0	0	0	0	0	29	5	0	29	5	18	18	0	0	0	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	0	0	2	20	-2	0	0	-2	0	0	0	-2	-1	0	0	15	0	8	4	6	2	0	-1	16	-1	0	20	-1	20	0	150	18	18	0	0	0	1	-1	30	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	-1	-1	8	0	3	0	-1	3	-1	0	3	0	0	0	3	-1	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	-1	4	-1	4	-2	1	0	0	0	-1	0	-2	14	-2	-1	4	5	0	-1	0	2	5	5	9	7	1	2	4	26	-2	26	-2	21	-6	23	12	0	7	1	-3	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-1	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707271802	27	27	0	18	0	0	0	0	12	41	41	0	0	0	0	0	29	5	0	29	5	18	18	0	0	0	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	0	0	2	15	-3	-1	0	-1	-2	0	-1	-1	-2	-1	0	15	0	8	4	6	2	0	-1	16	0	0	21	0	20	0	150	18	18	0	0	0	1	0	30	20	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	4	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	1	0	0	0	0	0	0	14	0	1	4	5	0	0	0	2	5	5	9	7	1	2	4	26	0	26	0	21	0	23	12	0	7	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-2	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707272002	27	27	0	18	0	0	0	0	12	41	41	0	0	0	0	0	29	5	0	29	5	18	18	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	16	0	0	21	0	20	0	150	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	4	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	1	0	0	0	0	0	0	14	0	1	4	5	0	0	0	2	5	5	9	7	1	2	4	26	0	26	0	21	0	23	12	0	7	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-2	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707272150	27	27	0	18	0	0	0	0	12	41	41	0	0	0	0	0	29	5	0	29	5	18	18	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	16	0	0	21	0	20	0	150	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	4	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	1	0	0	0	0	0	0	14	0	1	4	5	0	0	0	2	5	5	9	7	1	2	4	26	0	26	0	21	0	23	12	0	7	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-2	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	23	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707272237	27	27	0	18	0	0	0	0	12	41	41	0	0	0	0	0	29	5	0	29	5	18	18	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	15	0	8	4	6	2	0	-1	16	0	0	21	0	20	0	150	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	1	7	0	8	0	3	0	0	9	0	3	0	0	4	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	24	0	4	0	4	0	1	0	0	0	0	0	0	14	0	1	4	5	0	0	0	2	5	5	9	7	1	2	4	26	0	26	0	21	0	23	12	0	7	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	36	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	0	4	41	4	9	44	1	0	-2	-2	-2	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	24	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707281100	27	27	0	17	0	0	0	0	11	41	41	0	0	0	0	0	29	5	0	29	5	18	18	0	0	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	1	0	14	0	0	0	0	0	-1	1	0	0	0	0	17	0	8	5	6	3	0	-1	16	0	0	21	0	20	0	150	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	0	7	0	8	0	4	0	0	7	-1	2	0	0	4	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	23	0	4	0	4	0	1	0	0	0	0	0	0	14	0	1	4	5	0	0	0	2	5	5	9	7	1	2	4	26	0	26	0	21	0	23	12	0	7	1	0	24	4	14	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	35	28	34	35	25	19	44	27	10	16	47	10	3	24	18	4	45	41	10	-1	4	41	4	9	44	1	1	-2	-2	-2	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	24	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
1707281233	26	26	0	18	0	0	0	0	12	41	41	0	0	0	0	0	29	5	0	29	5	18	17	0	1	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	1	0	13	0	0	0	0	0	-2	1	0	0	0	0	17	0	8	5	6	3	0	-1	16	0	0	21	0	20	0	150	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	7	0	2	0	8	2	0	1	21	36	10	28	0	19	0	3	4	5	8	6	2	2	0	4	5	0	7	0	8	0	4	0	0	7	-1	2	0	0	4	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	0	21	1	16	5	20	8	12	0	0	0	0	1	1	0	1	0	1	35	35	44	11	10	37	23	0	4	0	4	0	1	0	0	0	0	0	0	14	0	1	4	5	0	0	0	2	5	4	9	8	0	1	4	26	0	26	0	21	0	23	12	0	7	1	0	25	4	15	10	8	0	0	1	7	40	6	12	10	12	31	8	6	11	8	4	0	0	7	3	1	0	27	199	50	35	28	34	35	25	19	44	27	10	16	47	10	3	24	17	4	45	41	10	-1	4	41	4	9	44	1	1	-2	-2	-2	41	15	43	12	15	47	36	41	43	41	30	47	28	37	39	21	27	24	38	43	38	41	46	30	9	10	7	19	20	20	17	18	17	13	14	20	13
