date	MUSI0001_22807	MUSI1100A_10267	MUSI1100A_10497	MUSI1100A_21098	MUSI1101B_10652	MUSI1102B_10256	MUSI1104B_10672	MUSI1105B_10607	MUSI1106B_18551	MUSI1107B_16397	MUSI1114A_10587	MUSI1115A_27786	MUSI1116B_27787	MUSI1121A_27788	MUSI1125A_12068	MUSI1125B_10878	MUSI1126_27789	MUSI1129_27790	MUSI1130B_11678	MUSI1136_28301	MUSI1139_28569	MUSI1202_11001	MUSI1202_11002	MUSI1203_10941	MUSI1203_11003	MUSI1204_11004	MUSI1204_16400	MUSI1205_10254	MUSI1205_11454	MUSI1206_10785	MUSI1206_10893	MUSI1207_10357	MUSI1207_10894	MUSI1208_17169	MUSI1208_21226	MUSI1208_21228	MUSI1208_21246	MUSI1208_23604	MUSI1209_16403	MUSI1209_18571	MUSI1210_10793	MUSI1210_11285	MUSI1210_13930	MUSI1210_17167	MUSI1210_20413	MUSI1303_26090	MUSI1400_13111	MUSI1400_19022	MUSI1400_21262	MUSI1400_23432	MUSI1400_23433	MUSI1404_11944	MUSI1404_28697	MUSI1415_21209	MUSI1415_25655	MUSI1415_25665	MUSI1415_26068	MUSI1415_27843	MUSI1415_28573	MUSI1415_28574	MUSI1415_28575	MUSI1415_28576	MUSI1415_28577	MUSI1415_28578	MUSI1415_28579	MUSI1416_20480	MUSI1416_22920	MUSI1416_22935	MUSI1416_23434	MUSI1416_25682	MUSI1416_25688	MUSI1416_26063	MUSI1416_26157	MUSI1416_27833	MUSI1416_27837	MUSI1416_27838	MUSI1416_27841	MUSI1417_20485	MUSI1417_20486	MUSI1417_25702	MUSI1417_25717	MUSI1417_28646	MUSI1417_28703	MUSI1600_11455	MUSI1600_16493	MUSI1601_11456	MUSI1601_11457	MUSI1602_11458	MUSI1603_11460	MUSI1603_16499	MUSI1610_20490	MUSI1610_20514	MUSI1610_20516	MUSI1611_20519	MUSI1611_20521	MUSI1800_10544	MUSI1802_13991	MUSI1807_11463	MUSI1809_27850	MUSI1811_13265	MUSI1812_23627	MUSI1813_27852	MUSI1815_13993	MUSI1817_28539	MUSI1818_14959	MUSI1819_10608	MUSI1820_10943	MUSI1826_23608	MUSI1830_18617	MUSI1831_18619	MUSI1901_27881	MUSI1903_15298	MUSI1910_13216	MUSI1910_23658	MUSI1911_13217	MUSI1911_28701	MUSI1912_13218	MUSI1912_23446	MUSI1991_20577	MUSI1992_20580	MUSI2200_14138	MUSI2200_15295	MUSI2200_20650	MUSI2200_20652	MUSI2200_23145	MUSI2200_23146	MUSI2200_23447	MUSI2200_23448	MUSI2200_23638	MUSI2201_10630	MUSI2201_20654	MUSI2201_23449	MUSI2201_23450	MUSI2201_23451	MUSI2201_25766	MUSI2201_25767	MUSI2202_10631	MUSI2202_23155	MUSI2202_28693	MUSI2202_28694	MUSI2202_28722	MUSI2202_28725	MUSI2203_10654	MUSI2203_28638	MUSI2204_10609	MUSI2205_10944	MUSI2205_11035	MUSI2206_10945	MUSI2208_10946	MUSI2209_10881	MUSI2210_10947	MUSI2211_10948	MUSI2212_10949	MUSI2213_11472	MUSI2400_11063	MUSI2400_11945	MUSI2400_23695	MUSI2401_11946	MUSI2401_15173	MUSI2401_26066	MUSI2402_11947	MUSI2403_11948	MUSI2407_25728	MUSI2408_23188	MUSI2414_20708	MUSI2414_20709	MUSI2414_28106	MUSI2414_28107	MUSI2414_28110	MUSI2414_28111	MUSI2414_28112	MUSI2414_28113	MUSI2414_28115	MUSI2414_28116	MUSI2414_28696	MUSI2414_28702	MUSI2416_20729	MUSI2416_23185	MUSI2416_28700	MUSI2417_23189	MUSI2417_25739	MUSI2420_20732	MUSI2420_23192	MUSI2420_23193	MUSI2420_26072	MUSI2420_28642	MUSI2500_10897	MUSI2500_14144	MUSI2500_21230	MUSI2500_26073	MUSI2501_15311	MUSI2501_16597	MUSI2501_23456	MUSI2501_28142	MUSI2501_28148	MUSI2501_28151	MUSI2501_28153	MUSI2501_28157	MUSI2501_28724	MUSI2502_10788	MUSI2502_28560	MUSI2503_10569	MUSI2503_28561	MUSI2504_23584	MUSI2504_28699	MUSI2505_26082	MUSI2505_26083	MUSI2505_28713	MUSI2511_28162	MUSI2512_23240	MUSI2513_20745	MUSI2514_18970	MUSI2514_18972	MUSI2514_23458	MUSI2514_26084	MUSI2514_26085	MUSI2515_20754	MUSI2515_28168	MUSI2515_28169	MUSI2515_28171	MUSI2606_11476	MUSI2607_28177	MUSI2607_28185	MUSI2608_10505	MUSI2608_15006	MUSI2608_23699	MUSI2612_18691	MUSI2613_18692	MUSI2619_20766	MUSI2620_18701	MUSI2622_28194	MUSI2623_28315	MUSI2700_25962	MUSI2801_15008	MUSI2801_25777	MUSI2806_15305	MUSI2807_15009	MUSI2808_17121	MUSI2809_15010	MUSI2810_13219	MUSI2811_13220	MUSI2811_28213	MUSI2812_28641	MUSI2814_16607	MUSI2815_13724	MUSI2816_13725	MUSI2816_28228	MUSI2816_28229	MUSI2816_28230	MUSI2816_28232	MUSI2816_28233	MUSI2816_28234	MUSI2817_28704	MUSI2818_28710	MUSI2821_28643	MUSI2822_28644	MUSI2822_28645	MUSI2823_23631	MUSI2823_28218	MUSI3302_26046	MUSI3302_26154	MUSI3313_25960	MUSI3313_26091	MUSI3400_11040	MUSI3400_11949	MUSI3401_11950	MUSI3402_11951	MUSI3403_20844	MUSI3403_28698	MUSI3404_28288	MUSI3405_16614	MUSI3405_23308	MUSI3405_23309	MUSI3406_18722	MUSI3406_23310	MUSI3406_23311	MUSI3406_26181	MUSI3406_28695	MUSI3413_28290	MUSI3413_28291	MUSI3413_28292	MUSI3413_28293	MUSI3500_10787	MUSI3501_10786	MUSI3502_28294	MUSI3502_28295	MUSI3502_28707	MUSI3503_26078	MUSI3503_28296	MUSI3504_10610	MUSI3504_23688	MUSI3504_26092	MUSI3504_28297	MUSI3511_23314	MUSI3512_23315	MUSI3513_25783	MUSI3513_25784	MUSI3513_28298	MUSI3515_28662	MUSI3516_26087	MUSI3516_28705	MUSI3516_28706	MUSI3601_10262	MUSI3601_10655	MUSI3601_25922	MUSI3603_25534	MUSI3606_16616	MUSI3606_20915	MUSI3607_11495	MUSI3607_23316	MUSI3610_10795	MUSI3611_10958	MUSI3612_10959	MUSI3612_26088	MUSI3614_15040	MUSI3615_13995	MUSI3616_25558	MUSI3617_28300	MUSI3618_18724	MUSI3618_18725	MUSI3619_23317	MUSI3620_24872	MUSI3992_10960	MUSI3998_10611	MUSI3999_13607	MUSI4011_27355	MUSI4012_27356	MUSI4013_27357	MUSI4014_27358	MUSI4015_27359	MUSI4016_27360	MUSI4017_27361
1707241512	3	39	3	93	54	57	40	69	60	42	41	39	40	46	31	37	30	12	67	15	23	1	1	15	10	10	9	0	0	15	15	14	14	1	0	1	1	1	1	1	1	1	0	1	1	9	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	11	0	15	10	15	0	14	0	11	10	15	15	14	10	14	7	10	10	6	15	15	30	29	39	30	27	50	6	1	1	1	1	0	1	1	20	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	14	15	15	15	9	20	30	15	15	15	25	20	3	10	3	9	8	3	10	10	1	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	5	0	5	0	1	0	1	1	0	30	10	10	1	1	1	1	1	1	1	1	1	15	8	12	8	8	0	30	20	14	25	15	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	3	3	0	1	0	1	1	1	0	1	1	8	1	1	1	1	0	0	0	0	7	6	0	0	8	8	8	0	24	14	15	0	15	24	8	8	8	8	24	24	5	19	19	10	10	8	9	20	3	5
1707241556	3	37	2	93	53	56	38	68	60	41	41	38	40	46	28	37	30	10	66	14	22	1	1	15	10	10	9	0	0	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	15	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	14	15	15	15	9	20	30	15	15	15	24	20	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	5	0	5	0	1	0	1	1	0	27	10	9	0	1	1	1	1	1	1	1	1	15	6	12	8	8	0	30	20	12	25	15	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	3	2	0	0	0	1	1	1	0	1	0	8	1	0	1	0	0	0	0	0	7	5	0	0	8	8	6	0	23	13	15	0	15	22	8	7	8	8	24	24	5	18	19	10	10	7	7	20	1	5
1707241623	3	37	2	93	53	56	38	67	60	41	40	38	40	46	27	37	29	9	65	14	22	1	1	15	10	10	9	0	0	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	15	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	20	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	5	0	5	0	1	0	1	1	0	27	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	3	2	0	0	0	1	1	1	0	1	0	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	23	13	14	0	15	22	7	6	8	8	24	24	5	18	19	10	10	7	7	20	1	5
1707241717	3	36	2	92	52	56	37	65	59	41	40	38	40	46	27	37	29	9	65	14	22	1	1	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	1	0	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	22	7	5	8	8	24	24	5	18	19	10	10	7	7	20	1	5
1707241814	3	36	2	92	52	56	37	65	59	41	40	38	40	46	27	37	29	9	65	14	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	10	10	7	7	20	1	5
1707241848	3	36	2	92	52	56	37	65	59	41	40	38	40	46	27	37	29	9	65	14	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	7	7	19	1	4
1707242034	3	36	2	92	53	56	37	65	59	41	40	38	40	46	27	37	29	9	65	13	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	7	7	19	1	4
1707242132	3	36	2	92	53	56	37	65	59	41	40	38	40	46	27	37	29	9	65	13	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	6	7	18	1	4
1707242210	3	36	2	92	53	56	37	65	59	41	40	38	40	46	27	37	29	9	65	13	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	6	7	18	1	4
1707242307	3	36	2	92	53	55	37	65	59	41	40	38	40	46	27	37	29	9	65	13	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	6	7	18	1	4
1707242329	3	36	2	92	53	55	37	65	59	41	40	38	40	46	27	37	29	9	65	13	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	5	7	17	1	4
1707242343	3	36	2	92	53	55	37	65	59	41	40	38	40	46	27	37	29	9	65	13	22	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	4	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	23	7	5	8	8	24	24	5	18	19	9	9	5	7	17	1	4
1707250748	3	36	2	92	53	55	37	65	59	41	40	38	39	46	27	37	29	9	65	12	21	0	2	15	10	10	9	0	-1	15	15	13	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	10	15	0	11	0	11	10	15	15	13	10	14	7	10	10	3	14	15	30	29	39	30	26	49	6	1	1	1	1	0	1	1	20	20	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	14	15	15	14	9	19	29	15	15	15	24	19	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	5	0	4	0	1	0	1	1	0	26	10	9	0	1	1	1	1	1	1	1	1	15	4	11	8	8	0	30	20	10	25	14	15	0	3	3	3	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	2	0	0	0	1	0	1	0	0	1	8	1	0	1	0	0	0	0	0	7	5	0	0	8	7	5	0	22	13	14	0	15	22	7	4	8	8	24	24	5	18	19	9	9	5	7	17	1	4
1707251027	3	57	7	147	49	49	37	64	57	34	59	59	37	67	33	31	24	4	59	12	19	0	2	15	10	10	9	-1	-1	15	15	12	14	1	0	1	1	1	1	1	1	1	0	1	1	9	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	11	0	15	9	15	0	9	0	11	8	15	14	13	10	11	7	10	10	3	13	15	30	29	39	30	26	49	3	1	1	1	0	0	1	1	20	20	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	13	15	14	14	9	18	29	15	15	14	24	18	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	5	0	2	0	1	0	1	1	0	25	10	9	0	0	0	1	1	0	0	1	1	15	2	9	8	8	0	29	20	7	24	12	15	0	3	3	3	3	2	3	1	0	1	0	3	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	3	10	10	10	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	3	0	0	0	0	1	0	1	0	0	1	7	0	0	1	0	0	0	0	0	6	5	0	0	8	7	4	0	22	13	11	0	13	20	2	3	8	6	23	23	5	17	19	9	9	5	7	17	1	4
1707251309	3	53	1	144	43	40	34	62	56	32	53	54	35	67	18	25	23	2	50	10	19	0	1	15	10	10	9	-1	-1	15	15	11	13	1	0	1	1	1	1	1	1	1	0	1	1	9	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	10	0	15	9	15	0	8	0	9	6	14	12	12	9	9	5	10	10	3	13	15	30	29	38	30	24	49	3	1	1	1	0	0	1	1	20	20	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	10	15	14	14	9	18	29	15	13	14	23	17	3	10	3	8	8	3	10	10	0	5	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	5	0	1	0	0	0	1	1	0	25	10	9	0	0	0	1	0	0	0	1	1	15	0	6	8	8	0	28	19	5	23	9	15	0	3	3	3	3	2	3	1	0	1	0	3	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	3	10	10	10	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	1	7	0	0	1	0	0	0	0	0	5	5	0	0	8	5	3	0	23	13	9	0	13	19	2	3	8	6	20	21	5	17	19	9	9	5	7	17	1	4
